Configuration,Execution mode,MPI ranks,Elapsed time (s),Useful time (s),MPI time (s),GPU runtime time (s),GPU useful time (s),GPU communication time (s)
4,Standard,4,1766.728827269,6655.832798761,125.560667559,285.520361332,212.067586268,20.020165348
4 MPS,MPS,4,1775.59664482,6656.871324075,159.99534144,285.518927598,212.037196648,20.256023861
8,Standard,8,1208.478984392,6795.549914906,947.503432422,1924.776502452,117.283168783,15.75566928
8 MPS,MPS,8,945.884126351,6806.132394196,208.092238037,552.84334912,133.27623593,16.08858087
16,Standard,16,1074.908173466,7190.521420078,3060.084867845,6947.894131328,74.721483936,13.447005497
16 MPS,MPS,16,547.390929915,7195.189365758,419.497669221,1143.552905117,92.635120083,14.329415514
32,Standard,32,1454.209790472,8809.382573075,11417.701794801,26306.850437322,53.02865726,12.484279257
32 MPS,MPS,32,390.625476136,8671.879812749,1475.362190286,2352.269784514,72.123750464,14.802770587
