Configuration,Execution mode,MPI ranks,Parallel efficiency,MPI parallel efficiency,MPI communication efficiency,MPI load balance,Device offload efficiency,GPU parallel efficiency,GPU load balance,GPU communication efficiency,GPU orchestration efficiency
4,Standard,4,0.94,0.98,0.99,0.99,0.96,0.03,0.99,0.91,0.03
4 MPS,MPS,4,0.94,0.98,0.99,0.98,0.96,0.03,1.0,0.91,0.03
8,Standard,8,0.7,0.9,0.94,0.96,0.78,0.02,0.99,0.88,0.03
8 MPS,MPS,8,0.9,0.97,0.98,0.99,0.92,0.04,0.99,0.89,0.04
16,Standard,16,0.42,0.82,0.89,0.92,0.51,0.02,0.99,0.85,0.02
16 MPS,MPS,16,0.82,0.95,0.98,0.98,0.86,0.04,0.99,0.87,0.05
32,Standard,32,0.19,0.75,0.83,0.9,0.25,0.01,0.99,0.82,0.01
32 MPS,MPS,32,0.69,0.88,0.92,0.96,0.79,0.05,0.99,0.83,0.06
