Configuration,Execution mode,MPI ranks,Nodes,CPUs,Available CPUs,GPUs,DLB version,Timestamp,Source file,Elapsed time (s),Useful time (s),MPI time (s),GPU runtime time (s),GPU useful time (s),GPU communication time (s),Parallel efficiency,MPI parallel efficiency,MPI communication efficiency,MPI load balance,Device offload efficiency,GPU parallel efficiency,GPU load balance,GPU communication efficiency,GPU orchestration efficiency
4,Standard,4,1,4,32,4,3.8.0,2026-09-17T14:05:35,Leonardo_results/ElmerIce_Talp_N1_n4_c8_ML3_58012361.json,1766.728827269,6655.832798761,125.560667559,285.520361332,212.067586268,20.020165348,0.94,0.98,0.99,0.99,0.96,0.03,0.99,0.91,0.03
4 MPS,MPS,4,1,4,32,4,3.8.0,2026-09-17T14:21:58,Leonardo_results/ElmerIce_Talp_N1_n4_c8_ML3_MPS_58012911.json,1775.59664482,6656.871324075,159.99534144,285.518927598,212.037196648,20.256023861,0.94,0.98,0.99,0.98,0.96,0.03,1.0,0.91,0.03
8,Standard,8,1,8,32,4,3.8.0,2026-09-17T13:34:22,Leonardo_results/ElmerIce_Talp_N1_n8_c4_ML3_58011300.json,1208.478984392,6795.549914906,947.503432422,1924.776502452,117.283168783,15.75566928,0.7,0.9,0.94,0.96,0.78,0.02,0.99,0.88,0.03
8 MPS,MPS,8,1,8,32,4,3.8.0,2026-09-17T13:45:18,Leonardo_results/ElmerIce_Talp_N1_n8_c4_ML3_MPS_58011966.json,945.884126351,6806.132394196,208.092238037,552.84334912,133.27623593,16.08858087,0.9,0.97,0.98,0.99,0.92,0.04,0.99,0.89,0.04
16,Standard,16,1,16,32,4,3.8.0,2026-09-17T13:00:24,Leonardo_results/ElmerIce_Talp_N1_n16_c2_ML3_58009468.json,1074.908173466,7190.521420078,3060.084867845,6947.894131328,74.721483936,13.447005497,0.42,0.82,0.89,0.92,0.51,0.02,0.99,0.85,0.02
16 MPS,MPS,16,1,16,32,4,3.8.0,2026-09-17T12:51:37,Leonardo_results/ElmerIce_Talp_N1_n16_c2_ML3_MPS_58009455.json,547.390929915,7195.189365758,419.497669221,1143.552905117,92.635120083,14.329415514,0.82,0.95,0.98,0.98,0.86,0.04,0.99,0.87,0.05
32,Standard,32,1,32,32,4,3.8.0,2026-09-17T13:28:16,Leonardo_results/ElmerIce_Talp_N1_n32_c1_ML3_58010686.json,1454.209790472,8809.382573075,11417.701794801,26306.850437322,53.02865726,12.484279257,0.19,0.75,0.83,0.9,0.25,0.01,0.99,0.82,0.01
32 MPS,MPS,32,1,32,32,4,3.8.0,2026-09-17T13:10:19,Leonardo_results/ElmerIce_Talp_N1_n32_c1_ML3_MPS_58010668.json,390.625476136,8671.879812749,1475.362190286,2352.269784514,72.123750464,14.802770587,0.69,0.88,0.92,0.96,0.79,0.05,0.99,0.83,0.06
