Configuration,Execution mode,MPI ranks,Nodes,CPUs,Available CPUs,GPUs,DLB version,Timestamp,Source file,Elapsed time (s),Useful time (s),MPI time (s),GPU runtime time (s),GPU useful time (s),GPU communication time (s),Parallel efficiency,MPI parallel efficiency,MPI communication efficiency,MPI load balance,Device offload efficiency,GPU parallel efficiency,GPU load balance,GPU communication efficiency,GPU orchestration efficiency
4,Standard,4,1,4,288,4,3.8.0,2026-09-21T15:00:25,results/roihu/TALP/N1_n4_c72_ML3/run_Elmer_roihu_N1_n4_c72_ML3_1447809/Greenland_SSA/ElmerIce_Talp_N1_n4_c72_ML3_1447809.json,1156.559702212,4312.946389962,146.705229193,166.585511363,88.784728707,4.805543048,0.93,0.97,0.98,0.98,0.96,0.02,0.99,0.95,0.02
4 MPS,MPS,4,1,4,288,4,3.8.0,2026-09-21T14:35:35,results/roihu/TALP/N1_n4_c72_ML3_MPS/run_Elmer_roihu_N1_n4_c72_ML3_MPS_1447342/Greenland_SSA/ElmerIce_Talp_N1_n4_c72_ML3_MPS_1447342.json,1158.46529392,4356.956094704,113.30834833,163.59519418,89.261383794,4.792315383,0.94,0.98,0.98,1.0,0.96,0.02,0.99,0.95,0.02
8,Standard,8,1,8,288,4,3.8.0,2026-09-21T14:55:05,results/roihu/TALP/N1_n8_c36_ML3/run_Elmer_roihu_N1_n8_c36_ML3_1447810/Greenland_SSA/ElmerIce_Talp_N1_n8_c36_ML3_1447810.json,834.298132793,4289.423405998,572.084688547,1812.566833021,54.912542188,6.522452687,0.64,0.91,0.97,0.95,0.7,0.02,1.0,0.89,0.02
8 MPS,MPS,8,1,8,288,4,3.8.0,2026-09-21T14:26:36,results/roihu/TALP/N1_n8_c36_ML3_MPS/run_Elmer_roihu_N1_n8_c36_ML3_MPS_1447343/Greenland_SSA/ElmerIce_Talp_N1_n8_c36_ML3_MPS_1447343.json,616.906755487,4326.887294572,264.292611864,343.340950199,60.819630218,5.867180179,0.88,0.95,0.96,0.98,0.93,0.02,0.99,0.92,0.03
16,Standard,16,1,16,288,4,3.8.0,2026-09-21T14:55:02,results/roihu/TALP/N1_n16_c18_ML3/run_Elmer_roihu_N1_n16_c18_ML3_1447811/Greenland_SSA/ElmerIce_Talp_N1_n16_c18_ML3_1447811.json,825.371318839,4453.007176629,2531.760819944,6217.934683205,37.902839188,6.726699642,0.34,0.81,0.88,0.91,0.42,0.01,1.0,0.85,0.01
16 MPS,MPS,16,1,16,288,4,3.8.0,2026-09-21T14:22:17,results/roihu/TALP/N1_n16_c18_ML3_MPS/run_Elmer_roihu_N1_n16_c18_ML3_MPS_1447344/Greenland_SSA/ElmerIce_Talp_N1_n16_c18_ML3_MPS_1447344.json,351.942539914,4432.833738697,469.14437756,727.926261293,45.705731506,5.863061452,0.79,0.92,0.94,0.98,0.86,0.03,0.99,0.89,0.04
32,Standard,32,1,32,288,4,3.8.0,2026-09-21T15:11:31,results/roihu/TALP/N1_n32_c9_ML3/run_Elmer_roihu_N1_n32_c9_ML3_1447812/Greenland_SSA/ElmerIce_Talp_N1_n32_c9_ML3_1447812.json,1188.522812426,4807.785304299,9905.894699379,23305.664354059,28.289546334,8.966600605,0.13,0.74,0.81,0.91,0.17,0.01,0.99,0.77,0.01
32 MPS,MPS,32,1,32,288,4,3.8.0,2026-09-21T14:20:35,results/roihu/TALP/N1_n32_c9_ML3_MPS/run_Elmer_roihu_N1_n32_c9_ML3_MPS_1447345/Greenland_SSA/ElmerIce_Talp_N1_n32_c9_ML3_MPS_1447345.json,240.295630594,4788.528463931,1161.67848608,1726.942444047,38.168502733,7.897127621,0.62,0.85,0.88,0.97,0.73,0.04,0.99,0.84,0.05
