Configuration,Execution mode,MPI ranks,Elapsed time (s),Useful time (s),MPI time (s),GPU runtime time (s),GPU useful time (s),GPU communication time (s)
4,Standard,4,1156.559702212,4312.946389962,146.705229193,166.585511363,88.784728707,4.805543048
4 MPS,MPS,4,1158.46529392,4356.956094704,113.30834833,163.59519418,89.261383794,4.792315383
8,Standard,8,834.298132793,4289.423405998,572.084688547,1812.566833021,54.912542188,6.522452687
8 MPS,MPS,8,616.906755487,4326.887294572,264.292611864,343.340950199,60.819630218,5.867180179
16,Standard,16,825.371318839,4453.007176629,2531.760819944,6217.934683205,37.902839188,6.726699642
16 MPS,MPS,16,351.942539914,4432.833738697,469.14437756,727.926261293,45.705731506,5.863061452
32,Standard,32,1188.522812426,4807.785304299,9905.894699379,23305.664354059,28.289546334,8.966600605
32 MPS,MPS,32,240.295630594,4788.528463931,1161.67848608,1726.942444047,38.168502733,7.897127621
